,lfc_NFlag,REFSEQ_new,REFSEQ,ISO
563,-1.12161284454722,NP_008864,NP_008864.4,NM_006933.7
564,-0.727055263803158,NP_008868,NP_008868.3,NM_006937.4
565,-0.772234461771168,NP_008869,NP_008869.1,NM_006938.4
566,2.81233779615052,NP_008922,NP_008922.1,NM_006991.5
567,2.81233779615052,NP_008922,NP_008922.1-2,NM_006991.5-2
568,-1.18447849819108,NP_008937,NP_008937.1,NM_007006.3
569,-0.610173537833466,NP_008986,NP_008986.2,NM_007055.4
570,-1.00823404953893,NP_008996,NP_008996.1,NM_007065.4
571,-0.632654027473375,NP_009031,NP_009031.1,NM_007100.4
572,-0.823172472580095,NP_009039,NP_009039.1,NM_007108.4
573,-1.48364058223142,NP_009060,NP_009060.2,NM_007129.5
574,-0.818227162667759,NP_009107,NP_009107.1,NM_007176.4
575,-0.866667993049774,NP_009120,NP_009120.1,NM_007189.3
576,-0.85311150333209,NP_009123,NP_009123.1,NM_007192.4
577,-0.856442687251002,NP_009135,NP_009135.4,NM_007204.5
578,-1.19978103085847,NP_009139,NP_009139.1,NM_007208.4
579,-0.73966065707844,NP_009216,NP_009216.1,NM_007285.7
580,1.15218044963679,NP_009223,NP_009223.2,NM_007292.6
581,-1.15798859647683,NP_031401,NP_031401.1,NM_007375.4
582,-0.93374860009886,NP_036203,NP_036203.1,NM_012071.4
583,1.12086658821096,NP_036346,NP_036346.1,NM_012214.3
584,-0.75787155514332,NP_036364,NP_036364.2,NM_012232.6
585,-0.67928713503028,NP_036380,NP_036380.2,NM_012248.4
586,-0.721325780498621,NP_036394,NP_036394.1,NM_012262.4
587,-0.612214078924798,NP_036442,NP_036442.3,NM_012310.5
588,-1.00636141553512,NP_036449,NP_036449.1,NM_012317.4
589,-0.713026625087938,NP_036451,NP_036451.4,NM_012319.4
590,-1.39882282147184,NP_036465,NP_036465.2,NM_012333.5
591,-1.13808225643558,NP_036474,NP_036474.1,NM_012342.3
592,1.3350936615384,NP_036506,NP_036506.1,NM_012374.2
593,2.25566522870639,NP_036507,NP_036507.2,NM_012375.3
594,-0.929801429650228,NP_036546,NP_036546.2,NM_012414.4
595,-0.818476110023832,NP_036558,NP_036558.3,NM_012426.5
596,-1.36305696482526,NP_036591,NP_036591.3,NM_012459.4
597,-0.839030669355848,NP_036611,NP_036611.2,NM_012479.4
598,-0.78199939838258,NP_037408,NP_037408.2,NM_013276.4
599,0.848189390749347,NP_037465,NP_037465.2,NM_013333.4
600,-0.737893590731818,NP_037469,NP_037469.2,NM_013337.4
601,-0.737893590731818,NP_037469,NP_037469.2-2,NM_013337.4-2
602,-1.00099874607882,NP_037471,NP_037471.2,NM_013339.4
603,-1.43744487913862,NP_037505,NP_037505.1,NM_013373.4
604,-1.09928398618351,NP_037507,NP_037507.1,NM_013375.4
605,-1.09928398618351,NP_037507,NP_037507.1-2,NM_013375.4-2
606,-0.977458541240248,NP_037519,NP_037519.2,NM_013387.4
607,1.87508910649555,NP_038460,NP_038460.4,NM_013432.5
608,-0.898737831736017,NP_038472,NP_038472.2,NM_013444.4
609,0.831915046345279,NP_039228,NP_039228.1,NM_013940.4
610,-1.07450930737793,NP_054733,NP_054733.2,NM_014014.5
