,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
424,0.588783814912601,XP_011516525,XP_011516525.2,XM_011518223.3
425,2.12069143485929,XP_011518443,XP_011518443.2,XM_011520141.3
426,1.40502696300928,XP_011525793,XP_011525793.1,XM_011527491.4
427,1.32726811913074,XP_011532833,XP_011532833.1,XM_011534531.4
428,1.04121118114892,XP_011533401,XP_011533401.1,XM_011535099.2
429,1.47424321245558,XP_011534306,XP_011534306.1,XM_011536004.3
430,2.42276648115183,XP_011534516,XP_011534516.1,XM_011536214.3
431,3.92053514368373,XP_011534519,XP_011534519.1,XM_011536217.3
432,2.31283315010764,XP_011535090,XP_011535090.1,XM_011536788.4
433,1.17224820857992,XP_011535199,XP_011535199.1,XM_011536897.3
434,1.60744252761117,XP_011535860,XP_011535860.1,XM_011537558.3
435,-1.25256029005655,XP_011535911,XP_011535911.1,XM_011537609.4
436,1.45384450237206,XP_011536733,XP_011536733.1,XM_011538431.3
437,-1.58426024199798,XP_011537027,XP_011537027.1,XM_011538725.4
438,1.17750608144104,XP_011539137,XP_011539137.1,XM_011540835.4
439,0.535094295675727,XP_011541879,XP_011541879.1,XM_011543577.3
440,-0.840120440956506,XP_011541973,XP_011541973.1,XM_011543671.4
441,1.73812576243382,XP_011542723,XP_011542723.1,XM_011544421.3
442,2.2309865997032,XP_011543152,XP_011543152.1,XM_011544850.3
443,1.06532677214708,XP_011543195,XP_011543195.1,XM_011544893.4
444,-0.688042523584623,XP_011544091,XP_011544091.1,XM_011545789.3
445,1.90270056871937,XP_016857855,XP_016857855.1,XM_017002366.2
446,1.84792054310959,XP_016859296,XP_016859296.1,XM_017003807.2
447,-1.3592483106814,XP_016859438,XP_016859438.1,XM_017003949.3
448,2.74381087929722,XP_016862926,XP_016862926.1,XM_017007437.2
449,1.12658679325191,XP_016869220,XP_016869220.1,XM_017013731.2
450,0.623863694460804,XP_016869802,XP_016869802.1,XM_017014313.3
451,0.683264592004301,XP_016870276,XP_016870276.1,XM_017014787.3
452,1.29766070613142,XP_016875854,XP_016875854.1,XM_017020365.2
453,1.86741553530935,XP_016876132,XP_016876132.1,XM_017020643.2
454,1.94356852736189,XP_016876133,XP_016876133.1,XM_017020644.2
455,2.94309614828303,XP_016876138,XP_016876138.2,XM_017020649.2
456,0.805662065178958,XP_016879283,XP_016879283.1,XM_017023794.2
457,0.952572079411492,XP_016879843,XP_016879843.1,XM_017024354.3
458,0.715126667220044,XP_024303199,XP_024303199.1,XM_024447431.2
459,0.769170270380009,XP_024307020,XP_024307020.1,XM_024451252.2
460,1.79635835183307,XP_024308489,XP_024308489.1,XM_024452721.2
461,1.05702252607924,XP_024308552,XP_024308552.1,XM_024452784.2
462,-1.54239479498238,XP_024308579,XP_024308579.1,XM_024452811.2
463,-1.0566175434817,XP_047271615,XP_047271615.1,XM_047415659.1
464,1.83902246986846,XP_047272679,XP_047272679.1,XM_047416723.1
465,-1.13764726366525,XP_047272903,XP_047272903.1,XM_047416947.1
466,0.875274064973901,XP_047273020,XP_047273020.1,XM_047417064.1
467,1.16241737564732,XP_047274303,XP_047274303.1,XM_047418347.1
