,lfc_NLSFlag,REFSEQ_new,REFSEQ,ISO
456,-0.93382393474313,NP_005372,NP_005372.2,NM_005381.3
457,-0.852559732123642,NP_005397,NP_005397.1,NM_005406.3
458,-0.942903365158956,NP_005406,NP_005406.3,NM_005415.5
459,-0.817780959571095,NP_005427,NP_005427.2,NM_005436.5
460,-0.868422858809147,NP_005436,NP_005436.1,NM_005445.4
461,-0.923578913695164,NP_005473,NP_005473.1,NM_005482.3
462,-0.86730019441911,NP_005485,NP_005485.1,NM_005494.3
463,-1.10455043972736,NP_005498,NP_005498.1,NM_005507.3
464,-1.02260778582941,NP_005508,NP_005508.1,NM_005517.4
465,-1.07257766877782,NP_005514,NP_005514.1,NM_005523.6
466,-0.980377537734465,NP_005660,NP_005660.4,NM_005669.5
467,-0.764609792680991,NP_005723,NP_005723.2,NM_005732.4
468,-1.40675634535611,NP_005724,NP_005724.1,NM_005733.3
469,-0.66681289797753,NP_005751,NP_005751.2,NM_005760.3
470,-0.838802139250252,NP_005753,NP_005753.1,NM_005762.3
471,1.26689575668864,NP_005759,NP_005759.4,NM_005768.6
472,-0.810659703459615,NP_005767,NP_005767.1,NM_005776.3
473,-0.940664162144201,NP_005773,NP_005773.3,NM_005782.4
474,-1.09356459132492,NP_005774,NP_005774.2,NM_005783.4
475,-0.944891592780481,NP_005782,NP_005782.1,NM_005791.3
476,-0.699799400784324,NP_005796,NP_005796.1,NM_005805.6
477,-0.893910471329026,NP_005800,NP_005800.3,NM_005809.6
478,-0.963257187068314,NP_005802,NP_005802.1,NM_005811.5
479,-0.574603384325201,NP_005819,NP_005819.3,NM_005828.5
480,-0.707355836726348,NP_005821,NP_005821.2,NM_005830.4
481,-1.31720047079946,NP_005827,NP_005827.1,NM_005836.3
482,-0.593642275912118,NP_005828,NP_005828.2,NM_005837.3
483,-0.672104831881448,NP_005849,NP_005849.1,NM_005858.4
484,-0.692553255542126,NP_005850,NP_005850.1,NM_005859.5
485,-0.636480286596445,NP_005863,NP_005863.1,NM_005872.3
486,-0.780978402458687,NP_005868,NP_005868.1,NM_005877.6
487,-1.03816871346826,NP_005871,NP_005871.1,NM_005880.4
488,-0.896723203533146,NP_005877,NP_005877.2,NM_005886.3
489,-0.619204496629666,NP_005906,NP_005906.2,NM_005915.6
490,-0.978639603594802,NP_005947,NP_005947.3,NM_005956.4
491,-0.860930727390679,NP_005964,NP_005964.3,NM_005973.5
492,-0.696763086014134,NP_005990,NP_005990.1,NM_005999.3
493,-1.10205190953796,NP_005994,NP_005994.2,NM_006003.3
494,-1.46106502991805,NP_006020,NP_006020.4,NM_006029.5
495,-0.949796019023555,NP_006053,NP_006053.2,NM_006062.3
496,-1.03777335084304,NP_006073,NP_006073.2,NM_006082.3
497,-0.672468031451315,NP_006074,NP_006074.2,NM_006083.4
498,-1.02368683011791,NP_006079,NP_006079.1,NM_006088.6
499,-0.845317635706581,NP_006147,NP_006147.1,NM_006156.3
500,-0.845317635706581,NP_006147,NP_006147.1-2,NM_006156.3-2
501,-1.15629929025166,NP_006169,NP_006169.2,NM_006178.4
502,-1.15629929025166,NP_006169,NP_006169.2-2,NM_006178.4-2
503,-0.785161858584879,NP_006182,NP_006182.2,NM_006191.3
504,-0.879087791701471,NP_006187,NP_006187.2,NM_006196.4
505,-1.2099895287615,NP_006214,NP_006214.3,NM_006223.4
506,-0.953191531328734,NP_006228,NP_006228.3,NM_006237.4
507,-0.795582284966023,NP_006256,NP_006256.1,NM_006265.3
