,lfc_NFlag,REFSEQ_new,REFSEQ,ISO
170,1.65592214530721,XP_016879637,XP_016879637.1,XM_017024148.2
171,2.35083058757229,XP_016879679,XP_016879679.1,XM_017024190.2
172,1.72673384642291,XP_016882870,XP_016882870.1,XM_017027381.2
173,4.03988197348872,XP_024304946,XP_024304946.1,XM_024449178.2
174,4.00522488366231,XP_024308490,XP_024308490.1,XM_024452722.2
175,2.73696639930055,XP_024308812,XP_024308812.1,XM_024453044.2
176,2.29405011001291,XP_024308813,XP_024308813.1,XM_024453045.2
177,2.28158618142318,XP_024309119,XP_024309119.1,XM_024453351.2
178,1.96548275277584,XP_024309120,XP_024309120.1,XM_024453352.2
179,1.54225695048146,XP_047272425,XP_047272425.1,XM_047416469.1
180,4.42053149483269,XP_047274162,XP_047274162.1,XM_047418206.1
181,2.5058732363562,XP_047274163,XP_047274163.1,XM_047418207.1
182,2.18903705583606,XP_047275631,XP_047275631.1,XM_047419675.1
183,2.19093601632765,XP_047276048,XP_047276048.1,XM_047420092.1
184,-1.74722913580765,XP_047277007,XP_047277007.1,XM_047421051.1
185,2.22795772191089,XP_047277363,XP_047277363.1,XM_047421407.1
186,1.70224697100555,XP_047277545,XP_047277545.1,XM_047421589.1
187,1.79135502584917,XP_047280365,XP_047280365.1,XM_047424409.1
188,1.80199484605069,XP_047281742,XP_047281742.1,XM_047425786.1
189,1.91575109159106,XP_047282319,XP_047282319.1,XM_047426363.1
190,1.78458065500596,XP_047282332,XP_047282332.1,XM_047426376.1
191,1.92412651452608,XP_047282511,XP_047282511.1,XM_047426555.1
192,2.05406431601266,XP_047283588,XP_047283588.1,XM_047427632.1
193,3.35611124148277,XP_047283671,XP_047283671.1,XM_047427715.1
194,2.28461329400639,XP_047285456,XP_047285456.1,XM_047429500.1
195,2.11475128432238,XP_047285850,XP_047285850.1,XM_047429894.1
196,2.01677657153582,XP_047286750,XP_047286750.1,XM_047430794.1
197,1.63018154916475,XP_047287134,XP_047287134.1,XM_047431178.1
198,3.26617382824376,XP_047287501,XP_047287501.1,XM_047431545.1
199,2.42344342954971,XP_047287729,XP_047287729.1,XM_047431773.1
200,1.82524214153849,XP_047287998,XP_047287998.1,XM_047432042.1
201,1.89214237114174,XP_047288421,XP_047288421.1,XM_047432465.1
